State,District,Year,Season,Crop,Area,Production
Bihar,0,1997,0,30,17876,21397
Bihar,0,2000,0,30,3,84685
Bihar,0,2001,0,18,9151,15664
Bihar,0,2001,0,30,80515,87320
Bihar,0,2002,0,18,3040,5521
Bihar,0,2002,0,30,24475,20930
Bihar,0,2003,0,30,25038,28924
Bihar,0,2004,0,30,24655,15306
Bihar,0,2005,0,30,25554,34078
Bihar,0,2006,0,30,27718,30645
Bihar,0,2007,0,18,6671,21639
Bihar,0,2007,0,30,20016,19467
Bihar,0,2008,0,18,7321,24450
Bihar,0,2008,0,30,21378,23999
Bihar,0,2009,0,18,2891,12127
Bihar,0,2009,0,30,26474,24843
Bihar,0,2010,0,18,3646,12875
Bihar,0,2010,0,30,20215,25762
Bihar,0,2011,0,18,3661,13186
Bihar,0,2011,0,30,12416,14834
Bihar,0,2012,0,18,3661,23707
Bihar,0,2012,0,30,12416,23732
Bihar,0,2013,0,18,9917,55868
Bihar,0,2013,0,30,31941,67848
Bihar,0,2014,0,18,7437,33584
Bihar,0,2014,0,30,23955,32840
Bihar,1,2003,0,30,10,13
Bihar,1,2005,0,30,58,51
Bihar,1,2007,0,18,459,619
Bihar,1,2007,0,30,10,8
Bihar,1,2008,0,18,450,519
Bihar,1,2008,0,30,10,13
Bihar,1,2009,0,18,278,406
Bihar,1,2010,0,18,325,587
Bihar,1,2011,0,18,351,718
Bihar,1,2011,0,30,6,9
Bihar,1,2012,0,18,351,1236
Bihar,1,2012,0,30,6,11
Bihar,1,2013,0,18,327,860
Bihar,1,2014,0,18,227,569
Bihar,2,2000,0,30,131312,257321
Bihar,2,2001,0,18,384,456
Bihar,2,2001,0,30,163366,344089
Bihar,2,2002,0,18,505,548
Bihar,2,2007,0,18,500,729
Bihar,2,2008,0,18,77,88
Bihar,2,2009,0,18,300,394
Bihar,2,2010,0,18,275,480
Bihar,2,2011,0,18,490,889
Bihar,2,2012,0,18,477,1592
Bihar,2,2013,0,18,338,781
Bihar,2,2014,0,18,339,672
Bihar,3,1997,0,30,38,59
Bihar,3,2000,0,30,121873,138302
Bihar,3,2001,0,18,7921,13007
Bihar,3,2001,0,30,102989,130687
Bihar,3,2002,0,18,9526,11735
Bihar,3,2007,0,18,9978,13789
Bihar,3,2008,0,18,9782,15789
Bihar,3,2009,0,18,6478,18194
Bihar,3,2010,0,18,7036,17091
Bihar,3,2011,0,18,6857,18941
Bihar,3,2012,0,18,6568,20380
Bihar,3,2013,0,18,7003,19433
Bihar,3,2014,0,18,7070,20688
Bihar,4,1997,0,30,7812,11698
Bihar,4,2000,0,30,15608,15420
Bihar,4,2001,0,18,41334,66483
Bihar,4,2001,0,30,22536,29097
Bihar,4,2002,0,18,40819,54458
Bihar,4,2002,0,30,4958,5188
Bihar,4,2003,0,30,4742,6530
Bihar,4,2004,0,30,4922,4406
Bihar,4,2005,0,30,5453,4384
Bihar,4,2006,0,30,5554,4432
Bihar,4,2007,0,18,44761,44492
Bihar,4,2007,0,30,5990,677
Bihar,4,2008,0,18,38775,44479
Bihar,4,2008,0,30,5473,7304
Bihar,4,2009,0,18,40914,34429
Bihar,4,2009,0,30,10431,7045
Bihar,4,2010,0,18,37501,69047
Bihar,4,2010,0,30,10512,4902
Bihar,4,2011,0,18,38014,26167
Bihar,4,2011,0,30,10530,13383
Bihar,4,2012,0,18,40917,112788
Bihar,4,2012,0,30,10446,20333
Bihar,4,2013,0,18,37500,50191
Bihar,4,2013,0,30,10512,8367
Bihar,4,2014,0,18,30672,61233
Bihar,4,2014,0,30,4515,6340
Bihar,5,1997,0,30,1215,1867
Bihar,5,2000,0,30,44858,49556
Bihar,5,2001,0,18,27953,65591
Bihar,5,2001,0,30,43555,53843
Bihar,5,2002,0,18,27812,51263
Bihar,5,2002,0,30,1162,1330
Bihar,5,2003,0,30,1094,1345
Bihar,5,2004,0,30,1505,1341
Bihar,5,2005,0,30,1301,1152
Bihar,5,2006,0,30,1560,1560
Bihar,5,2007,0,18,25146,21413
Bihar,5,2007,0,30,1550,918
Bihar,5,2008,0,18,22636,21247
Bihar,5,2008,0,30,1355,1735
Bihar,5,2009,0,18,20456,29309
Bihar,5,2009,0,30,1273,1132
Bihar,5,2010,0,18,20751,47041
Bihar,5,2010,0,30,1185,1034
Bihar,5,2011,0,18,22869,64879
Bihar,5,2011,0,30,589,947
Bihar,5,2012,0,18,18193,104118
Bihar,5,2012,0,30,983,1743
Bihar,5,2013,0,18,16197,79763
Bihar,5,2013,0,30,1086,1603
Bihar,5,2014,0,18,17559,69304
Bihar,5,2014,0,30,1192,2073
Bihar,6,1997,0,30,682,733
Bihar,6,2000,0,30,108068,251834
Bihar,6,2001,0,18,2573,3174
Bihar,6,2001,0,30,110652,242677
Bihar,6,2002,0,18,2549,4722
Bihar,6,2002,0,30,994,1190
Bihar,6,2003,0,30,1001,1255
Bihar,6,2004,0,30,1453,1295
Bihar,6,2005,0,30,453,460
Bihar,6,2006,0,30,551,585
Bihar,6,2007,0,18,3990,4530
Bihar,6,2007,0,30,563,393
Bihar,6,2008,0,18,3955,2318
Bihar,6,2008,0,30,150,200
Bihar,6,2009,0,18,3969,8423
Bihar,6,2009,0,30,482,435
Bihar,6,2010,0,18,3973,9703
Bihar,6,2010,0,30,482,431
Bihar,6,2011,0,18,3967,5483
Bihar,6,2011,0,30,436,699
Bihar,6,2012,0,18,2852,7393
Bihar,6,2012,0,30,350,624
Bihar,6,2013,0,18,2609,3955
Bihar,6,2013,0,30,164,224
Bihar,6,2014,0,18,2558,5069
Bihar,6,2014,0,30,41,71
Bihar,7,2000,0,30,84153,225068
Bihar,7,2001,0,18,1295,2195
Bihar,7,2001,0,30,73347,183073
Bihar,7,2002,0,18,1216,1897
Bihar,7,2003,0,30,5,6
Bihar,7,2006,0,30,79,75
Bihar,7,2007,0,18,3786,4127
Bihar,7,2008,0,18,114,150
Bihar,7,2009,0,18,1500,1436
Bihar,7,2010,0,18,1847,2749
Bihar,7,2011,0,18,2101,4530
Bihar,7,2011,0,30,6,9
Bihar,7,2012,0,18,2399,7404
Bihar,7,2013,0,18,2093,2776
Bihar,7,2013,0,30,2,3
Bihar,7,2014,0,18,1317,1873
Bihar,7,2014,0,30,2,3
Bihar,8,1997,0,30,19578,19904
Bihar,8,2000,0,30,72415,68231
Bihar,8,2001,0,18,876,1537
Bihar,8,2001,0,30,56659,48341
Bihar,8,2002,0,18,1049,1606
Bihar,8,2002,0,30,26770,14628
Bihar,8,2003,0,30,26026,16740
Bihar,8,2004,0,30,31226,5893
Bihar,8,2005,0,30,28005,30023
Bihar,8,2006,0,30,27721,25533
Bihar,8,2007,0,18,2607,780
Bihar,8,2007,0,30,32989,10431
Bihar,8,2008,0,18,2027,2181
Bihar,8,2008,0,30,29180,30022
Bihar,8,2009,0,18,1799,2617
Bihar,8,2009,0,30,28901,31533
Bihar,8,2010,0,18,2407,5122
Bihar,8,2010,0,30,32930,32889
Bihar,8,2011,0,18,1837,4398
Bihar,8,2011,0,30,37063,61962
Bihar,8,2012,0,18,1794,8149
Bihar,8,2012,0,30,36524,58586
Bihar,8,2013,0,18,1593,5141
Bihar,8,2013,0,30,33995,58523
Bihar,8,2014,0,18,1655,4394
Bihar,8,2014,0,30,33535,51141
Bihar,9,1997,0,30,2816,4607
Bihar,9,2000,0,30,143640,229890
Bihar,9,2001,0,18,3244,3931
Bihar,9,2001,0,30,152978,257711
Bihar,9,2002,0,18,3071,3775
Bihar,9,2003,0,30,1720,2124
Bihar,9,2004,0,30,13,12
Bihar,9,2005,0,30,1253,1281
Bihar,9,2006,0,30,1209,1158
Bihar,9,2007,0,18,4626,6634
Bihar,9,2007,0,30,321,184
Bihar,9,2008,0,18,3862,4598
Bihar,9,2008,0,30,34,45
Bihar,9,2009,0,18,4941,7168
Bihar,9,2009,0,30,884,830
Bihar,9,2010,0,18,2863,6080
Bihar,9,2010,0,30,28,27
Bihar,9,2011,0,18,4374,8933
Bihar,9,2011,0,30,33,53
Bihar,9,2012,0,18,5476,20827
Bihar,9,2012,0,30,360,640
Bihar,9,2013,0,18,6430,16687
Bihar,9,2013,0,30,196,302
Bihar,9,2014,0,18,6357,12382
Bihar,9,2014,0,30,1351,2349
Bihar,10,1997,0,30,73672,119083
Bihar,10,2000,0,30,33539,44197
Bihar,10,2001,0,18,7234,12278
Bihar,10,2001,0,30,30016,50185
Bihar,10,2002,0,18,8686,10853
Bihar,10,2002,0,30,63321,78016
Bihar,10,2003,0,30,61274,91873
Bihar,10,2004,0,30,61615,79645
Bihar,10,2005,0,30,58317,39129
Bihar,10,2006,0,30,51736,64795
Bihar,10,2007,0,18,7375,3850
Bihar,10,2007,0,30,54485,47243
Bihar,10,2008,0,18,7727,9680
Bihar,10,2008,0,30,59512,74978
Bihar,10,2009,0,18,8102,9425
Bihar,10,2009,0,30,60987,53444
Bihar,10,2010,0,18,8468,4286
Bihar,10,2010,0,30,62233,62637
Bihar,10,2011,0,18,6775,13228
Bihar,10,2011,0,30,60607,111917
Bihar,10,2012,0,18,6758,22279
Bihar,10,2012,0,30,58866,127353
Bihar,10,2013,0,18,6044,15786
Bihar,10,2013,0,30,54642,87882
Bihar,10,2014,0,18,5803,14214
Bihar,10,2014,0,30,55887,104540
Bihar,11,2000,0,30,47556,50836
Bihar,11,2001,0,18,5382,9965
Bihar,11,2001,0,30,37942,27533
Bihar,11,2002,0,18,5949,6331
Bihar,11,2007,0,18,4135,14158
Bihar,11,2007,0,30,7,
Bihar,11,2008,0,18,3967,5977
Bihar,11,2009,0,18,2753,4614
Bihar,11,2009,0,30,23,22
Bihar,11,2010,0,18,2746,7008
Bihar,11,2010,0,30,24,26
Bihar,11,2011,0,18,2754,6743
Bihar,11,2011,0,30,27,43
Bihar,11,2012,0,18,2602,3433
Bihar,11,2012,0,30,24,30
Bihar,11,2013,0,18,2672,3981
Bihar,11,2013,0,30,23,28
Bihar,11,2014,0,18,2065,3597
Bihar,12,1997,0,30,3,3
Bihar,12,2000,0,30,86255,134076
Bihar,12,2001,0,18,673,6807
Bihar,12,2001,0,30,84038,163470
Bihar,12,2002,0,18,705,813
Bihar,12,2002,0,30,177,194
Bihar,12,2007,0,18,1192,1510
Bihar,12,2008,0,18,561,645
Bihar,12,2009,0,18,538,783
Bihar,12,2010,0,18,518,938
Bihar,12,2011,0,18,1015,2063
Bihar,12,2012,0,18,1027,3608
Bihar,12,2013,0,18,1115,3069
Bihar,12,2014,0,18,178,412
Bihar,13,1997,0,30,367,395
Bihar,13,2000,0,30,99126,192768
Bihar,13,2001,0,18,269,452
Bihar,13,2001,0,30,108386,271151
Bihar,13,2002,0,18,383,601
Bihar,13,2002,0,30,129,141
Bihar,13,2003,0,30,150,181
Bihar,13,2004,0,30,122,108
Bihar,13,2005,0,30,15,17
Bihar,13,2007,0,18,380,195
Bihar,13,2007,0,30,82,58
Bihar,13,2008,0,18,85,47
Bihar,13,2008,0,30,530,707
Bihar,13,2009,0,18,79,83
Bihar,13,2009,0,30,703,668
Bihar,13,2010,0,18,225,252
Bihar,13,2010,0,30,213,221
Bihar,13,2011,0,18,215,476
Bihar,13,2012,0,18,424,923
Bihar,13,2013,0,18,383,984
Bihar,13,2014,0,18,330,259
Bihar,14,1997,0,30,21370,24893
Bihar,14,2000,0,30,72621,73068
Bihar,14,2001,0,18,7003,11935
Bihar,14,2001,0,30,74419,86446
Bihar,14,2002,0,18,7311,15676
Bihar,14,2002,0,30,11413,10710
Bihar,14,2003,0,30,11522,6698
Bihar,14,2004,0,30,11095,6285
Bihar,14,2005,0,30,11574,7743
Bihar,14,2006,0,30,9166,7342
Bihar,14,2007,0,18,10610,21253
Bihar,14,2007,0,30,8779,6005
Bihar,14,2008,0,18,11319,18548
Bihar,14,2008,0,30,9546,8285
Bihar,14,2009,0,18,11031,18572
Bihar,14,2009,0,30,9617,10355
Bihar,14,2010,0,18,10230,34885
Bihar,14,2010,0,30,11293,12850
Bihar,14,2011,0,18,12898,43239
Bihar,14,2011,0,30,13886,24471
Bihar,14,2012,0,18,11994,84806
Bihar,14,2012,0,30,13609,32194
Bihar,14,2013,0,18,12026,89311
Bihar,14,2013,0,30,13686,33142
Bihar,14,2014,0,18,12063,54963
Bihar,14,2014,0,30,20966,56210
Bihar,15,1997,0,30,6967,4272
Bihar,15,2000,0,30,17414,8412
Bihar,15,2001,0,18,12738,17981
Bihar,15,2001,0,30,19260,8781
Bihar,15,2002,0,18,14099,11386
Bihar,15,2002,0,30,8408,2289
Bihar,15,2003,0,30,6549,4869
Bihar,15,2004,0,30,7308,501
Bihar,15,2005,0,30,7528,7310
Bihar,15,2006,0,30,8648,7371
Bihar,15,2007,0,18,16294,21966
Bihar,15,2007,0,30,9673,527
Bihar,15,2008,0,18,16308,15966
Bihar,15,2008,0,30,9388,6678
Bihar,15,2009,0,18,16328,17571
Bihar,15,2009,0,30,9400,6779
Bihar,15,2010,0,18,16310,30374
Bihar,15,2010,0,30,9487,7594
Bihar,15,2011,0,18,16317,26335
Bihar,15,2011,0,30,9386,9263
Bihar,15,2012,0,18,17666,36185
Bihar,15,2012,0,30,7524,9400
Bihar,15,2013,0,18,17906,8020
Bihar,15,2013,0,30,10098,6789
Bihar,15,2014,0,18,17899,62173
Bihar,15,2014,0,30,10094,9540
Bihar,16,1997,0,30,12838,10254
Bihar,16,2000,0,30,82062,94270
Bihar,16,2001,0,18,202,346
Bihar,16,2001,0,30,76335,71635
Bihar,16,2002,0,18,885,1753
Bihar,16,2002,0,30,5944,4360
Bihar,16,2003,0,30,5554,4586
Bihar,16,2004,0,30,5045,4865
Bihar,16,2005,0,30,3915,3947
Bihar,16,2006,0,30,3127,2219
Bihar,16,2007,0,18,411,834
Bihar,16,2007,0,30,3003,1986
Bihar,16,2008,0,18,402,1014
Bihar,16,2008,0,30,2877,2385
Bihar,16,2009,0,18,532,1484
Bihar,16,2009,0,30,2375,1109
Bihar,16,2010,0,18,483,1657
Bihar,16,2010,0,30,2356,1239
Bihar,16,2011,0,18,443,1072
Bihar,16,2011,0,30,2165,2133
Bihar,16,2012,0,18,373,2816
Bihar,16,2012,0,30,1955,898
Bihar,16,2013,0,18,349,1406
Bihar,16,2013,0,30,1797,4422
Bihar,16,2014,0,18,337,654
Bihar,16,2014,0,30,1771,2787
Bihar,17,2000,0,30,31295,47188
Bihar,17,2001,0,18,3455,6996
Bihar,17,2001,0,30,29093,41233
Bihar,17,2002,0,18,4444,8921
Bihar,17,2002,0,30,143,79
Bihar,17,2007,0,18,6007,3655
Bihar,17,2008,0,18,4619,3142
Bihar,17,2009,0,18,3969,4512
Bihar,17,2010,0,18,2709,5078
Bihar,17,2011,0,18,7663,24878
Bihar,17,2012,0,18,6186,5520
Bihar,17,2013,0,18,4703,9674
Bihar,17,2014,0,18,5106,11620
Bihar,18,1997,0,30,18452,26003
Bihar,18,2000,0,30,64176,82545
Bihar,18,2001,0,18,6404,8492
Bihar,18,2001,0,30,67682,74326
Bihar,18,2002,0,18,7303,19313
Bihar,18,2002,0,30,18530,25397
Bihar,18,2003,0,30,19287,28937
